,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3209,Fun Size,14000000,9409538,11166615,20576153,6576153
214,Fun With Dick And Jane,140000000,110550000,203018919,313568919,173568919
5739,Funny Ha Ha,30000,77070,82698,159768,129768
681,Funny People,72500000,51855045,71880305,123735350,51235350
66,Furious 7,190000000,353007020,1518722794,1871729814,1681729814
1716,Furry Vengeance,35000000,17630465,39340177,56970642,21970642
567,Fury,80000000,85817906,210315681,296133587,216133587
184,G-Force,150000000,119436770,292817841,412254611,262254611
1138,G.I. Jane,50000000,48169156,48169156,96338312,46338312
212,G.I. Joe: Retaliation,140000000,122523060,375740705,498263765,358263765
105,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,452670515,277670515
5716,Gabriela,50000,2335352,2335352,4670704,4620704
1762,Gake no ue no Ponyo,34000000,15090399,205312666,220403065,186403065
4223,Galaxina,5500000,4865000,4865000,9730000,4230000
1268,Galaxy Quest,45000000,71423726,90523726,161947452,116947452
4706,Gallipoli,3000000,5732587,5732587,11465174,8465174
1593,Game Night,37000000,69179066,117378084,186557150,149557150
1181,Gamer,50000000,20534907,42002029,62536936,12536936
2413,Gandhi,22000000,52767889,127767889,180535778,158535778
410,Gangs of New York,97000000,77730500,183124621,260855121,163855121
903,Gangster Squad,60000000,46000903,104100903,150101806,90101806
4814,Garden State,2500000,26782316,36028802,62811118,60311118
929,Garfield: A Tail of Two Kitties,60000000,28426747,147985373,176412120,116412120
1115,Garfield: The Movie,50000000,75367693,208094550,283462243,233462243
4902,Gentleman's Agreement,2000000,7800000,7800000,15600000,13600000
4554,Geograf globus propil,4000000,0,4454853,4454853,454853
2755,George A. Romero's Land of the Dead,18975000,20700082,47751015,68451097,49476097
992,George Of The Jungle,55000000,105263257,174463257,279726514,224726514
5727,George Washington,42000,241816,342722,584538,542538
2597,Georgia Rule,20000000,18882880,20819601,39702481,19702481
398,Geostorm,100000000,33700160,220796009,254496169,154496169
1396,Get Hard,40000000,90411453,106511453,196922906,156922906
1421,Get Him to the Greek,40000000,61153526,91455875,152609401,112609401
4022,Get Low,7000000,9176933,10828305,20005238,13005238
4248,Get Out,5000000,176040665,255367951,431408616,426408616
3629,Get Over It,10000000,11560259,19860259,31420518,21420518
4937,Get Real,2000000,1152411,1152411,2304822,304822
1473,Get Rich or Die Tryin',40000000,30981850,46666955,77648805,37648805
1834,Get Shorty,30250000,72021008,115021008,187042016,156792016
549,Get Smart,80000000,130319208,226739416,357058624,277058624
1934,Get on Up,30000000,30569935,33339868,63909803,33909803
4852,Get on the Bus,2400000,5691854,5691854,11383708,8983708
2819,Getaway,18000000,10501938,11813989,22315927,4315927
2404,Ghost,22000000,217631306,517600000,735231306,713231306
4921,Ghost Dog: The Way of the Samurai,2000000,3330230,10672492,14002722,12002722
288,Ghost Rider,120000000,115802596,229545589,345348185,225348185
972,Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,200991357,143991357
2565,Ghost Ship,20000000,30113491,68349884,98463375,78463375
2630,Ghost Town,20000000,13367624,29958228,43325852,23325852
4221,Ghost World,5500000,6217849,8761608,14979457,9479457
339,Ghost in the Shell,110000000,40563557,167910690,208474247,98474247
203,Ghostbusters,144000000,128350574,229008658,357359232,213359232
4003,Gifted,7000000,24801212,36964656,61765868,54765868
3401,Girl with a Pearl Earring,12000000,11634362,43274797,54909159,42909159
2349,"Girl, Interrupted",24000000,28871190,28871190,57742380,33742380
2035,Girls Trip,28000000,115108515,140886353,255994868,227994868
355,Gladiator,103000000,187683805,457683805,645367610,542367610
2499,Glass,20000000,111035005,245303505,356338510,336338510
3789,Glee: The 3D Concert Movie,9000000,11862398,17462398,29324796,20324796
3323,Glengarry Glen Ross,12500000,10725228,10725228,21450456,8950456
3845,Glitter,8500000,4273372,4273372,8546744,46744
2795,Glory,18000000,26593580,26593580,53187160,35187160
1906,Glory Road,30000000,42647449,42799060,85446509,55446509
1605,Gnomeo and Juliet,36000000,99967670,193737977,293705647,257705647
4090,Go!,6500000,16875273,28383441,45258714,38758714
5541,God's Army,300000,2637726,2652515,5290241,4990241
4606,Gods and Monsters,3500000,6451628,6451628,12903256,9403256
217,Gods of Egypt,140000000,31153464,138836756,169990220,29990220
1968,Godsend,30000000,14334645,16910708,31245353,1245353
273,Godzilla,125000000,136314294,376000000,512314294,387314294
5223,Godzilla 2000,1000000,10037390,10037390,20074780,19074780
124,Godzilla: King of the Monsters,170000000,85576941,299276941,384853882,214853882
5189,Godâs Not Dead,1150000,60755732,63777092,124532824,123382824
4284,Godâs Not Dead 2,5000000,20773069,23551286,44324355,39324355
2339,Going in Style,24000000,45018541,78672579,123691120,99691120
1810,Going the Distance,32000000,17804299,43603990,61408289,29408289
852,Goldeneye,60000000,106429941,356429941,462859882,402859882
4667,Goldfinger,3000000,51100000,124900000,176000000,173000000
4110,Gomorra,6200000,1579146,37339594,38918740,32718740
835,Gone Girl,61000000,167767189,368567189,536334378,475334378
354,Gone in 60 Seconds,103300000,101643008,232643008,334286016,230986016
4567,Gone with the Wind,3900000,198680470,390525192,589205662,585305662
2741,"Gone, Baby, Gone",19000000,20300218,34352162,54652380,35652380
2883,Good Boy!,17000000,37667746,45312217,82979963,65979963
4105,"Good Bye, Lenin!",6400000,4063859,79384539,83448398,77048398
2221,Good Luck Chuck,25000000,35017297,59183821,94201118,69201118
3244,Good Morning Vietnam,13000000,123922370,123922370,247844740,234844740
3997,"Good Night, and Good Luck",7000000,31501218,56586901,88088119,81088119
3536,Good Will Hunting,10000000,138433435,225925989,364359424,354359424
2200,Goodfellas,25000000,46743809,46777347,93521156,68521156
957,Goosebumps,58000000,80069458,158905324,238974782,180974782
1662,Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,139988799,104988799
2787,Gosford Park,18000000,41300105,41300105,82600210,64600210
3213,Gossip,14000000,5108820,12591270,17700090,3700090
1422,Gothika,40000000,59588068,141484812,201072880,161072880
3663,Gotti,10000000,4286367,6089100,10375467,375467
5042,Grace Unplugged,1700000,2507159,2507159,5014318,3314318
5568,Graduation Day,250000,23894000,23894000,47788000,47538000
2164,Gran Torino,25000000,148095302,274543085,422638387,397638387
4331,Grandmaâs Boy,5000000,6090172,6590172,12680344,7680344
4975,Grave Encounters,2000000,0,2151887,2151887,151887
315,Gravity,110000000,274092705,693698673,967791378,857791378
4112,Grease,6000000,181813770,387510179,569323949,563323949
2370,Green Book,23000000,85080171,322034439,407114610,384114610
61,Green Lantern,200000000,116601172,219535492,336136664,136136664
4345,Green Room,5000000,3220371,3807503,7027874,2027874
397,Green Zone,100000000,35497337,97523020,133020357,33020357
3465,Gremlins,11000000,148168459,148199515,296367974,285367974
1146,Gremlins 2: The New Batch,50000000,41476097,41476097,82952194,32952194
1917,Gridiron Gang,30000000,38432823,41457834,79890657,49890657
5469,Griffin & Phoenix,500000,0,1355967,1355967,855967
1063,Grindhouse,53000000,25031037,50187789,75218826,22218826
5440,Groove,500000,1115313,1167524,2282837,1782837
3054,Grosse Pointe Blank,15000000,28084357,31070412,59154769,44154769
3164,Groundhog Day,14600000,70906973,70906973,141813946,127213946
633,Grown Ups,75000000,162001186,272223430,434224616,359224616
547,Grown Ups 2,80000000,133668525,247023808,380692333,300692333
1476,Grudge Match,40000000,29807260,69807260,99614520,59614520
113,Guardians of the Galaxy,170000000,333172112,770867516,1104039628,934039628
48,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,1252129334,1052129334
1643,Guess Who,35000000,68915888,102115888,171031776,136031776
312,Gulliver's Travels,112000000,42779261,232017848,274797109,162797109
4538,"Guten Tag, Ramon",4000000,154356,4854356,5008712,1008712
3424,Gwoemul,12000000,2201923,92618117,94820040,82820040
3839,Haakon Haakonsen,8500000,15024232,15024232,30048464,21548464
2980,Hachiko: A Dog's Story,16000000,0,47707417,47707417,31707417
1416,Hacksaw Ridge,40000000,67209615,168904682,236114297,196114297
2979,Haeundae,16000000,0,64733391,64733391,48733391
4227,Haevnen,5500000,1008098,15867314,16875412,11375412
2421,"Hail, Caesar!",22000000,30080225,64160680,94240905,72240905
639,Hairspray,75000000,118871849,203035572,321907421,246907421
3888,Half Baked,8000000,17394881,17394881,34789762,26789762
5390,Half Nelson,700000,2697938,4911725,7609663,6909663
2261,Half Past Dead,25000000,15567860,19233280,34801140,9801140
756,Hall Pass,68000000,45060734,87173475,132234209,64234209
5536,Halloween,325000,47000000,70000000,117000000,116675000
3042,Halloween 2,15000000,33392973,38512850,71905823,56905823
4817,Halloween 3: Season of the Witch,2500000,14400000,14400000,28800000,26300000
4292,Halloween 4: The Return of Michael Myers,5000000,17768757,17768757,35537514,30537514
4144,Halloween 5: The Revenge of Michael Myers,6000000,11642254,11642254,23284508,17284508
4816,Halloween II,2500000,25533818,25533818,51067636,48567636
2875,Halloween: H2O,17000000,55041738,55041738,110083476,93083476
3047,Halloween: Resurrection,15000000,30259652,37659652,67919304,52919304
4297,Halloween: The Curse of Michael Myers,5000000,15126948,15126948,30253896,25253896
3796,Hamlet 2,9000000,4886216,4934104,9820320,820320
162,Hancock,150000000,227946274,624234272,852180546,702180546
5021,Hang 'em High,1800000,6800000,6800000,13600000,11800000
1462,Hanging Up,40000000,36037909,51867723,87905632,47905632
1913,Hanna,30000000,40259119,65343694,105602813,75602813
1861,Hannah Montana the Movie,30000000,79576189,169173206,248749395,218749395
4084,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65281781,70712099,135993880,129493880
485,Hannibal,87000000,165092266,350100280,515192546,428192546
1165,Hannibal Rising,50000000,27669725,80583311,108253036,58253036
1126,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,270653191,220653191
1237,Happily N'Ever After,47000000,15849032,37923818,53772850,6772850
4725,Happiness,3000000,2746453,5746453,8492906,5492906
4257,Happy Death Day,5000000,55683845,125010260,180694105,175694105
3777,Happy Death Day 2U,9000000,28051045,64179495,92230540,83230540
488,Happy Feet,85000000,198000317,385000317,583000634,498000634
232,Happy Feet Two,135000000,64006466,157956466,221962932,86962932
3559,Happy Gilmore,10000000,38623460,41004412,79627872,69627872
5043,"Happy, Texas",1700000,2039192,2891228,4930420,3230420
5327,Hard Candy,950000,1024640,8267066,9291706,8341706
2465,Hardball,21000000,40222729,43728560,83951289,62951289
4899,Hardcore Henry,2000000,9252038,17187434,26439472,24439472
1877,Harlem Nights,30000000,60857262,95857262,156714524,126714524
3363,Harold & Kumar Escape from Guantanamo Bay,12000000,38108728,43353117,81461845,69461845
3781,Harold & Kumar Go to White Castle,9000000,18225165,18225165,36450330,27450330
4602,Harper,3500000,12000000,12000000,24000000,20500000
3268,Harriet the Spy,13000000,26570048,26570048,53140096,40140096
3980,Harry Brown,7300000,1818681,12023606,13842287,6542287
363,Harry Potter and the Chamber of Secrets,100000000,262233381,879225135,1141458516,1041458516
263,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,960431568,1256563136,1131563136
260,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,1722886314,1597886314
158,Harry Potter and the Goblet of Fire,150000000,290201752,897099794,1187301546,1037301546
19,Harry Potter and the Half-Blood Prince,250000000,302089278,935213767,1237303045,987303045
157,Harry Potter and the Order of the Phoenix,150000000,292137260,943076457,1235213717,1085213717
238,Harry Potter and the Prisoner of Azkaban,130000000,249757726,796907323,1046665049,916665049
262,Harry Potter and the Sorcererâs Stone,125000000,317871467,975047606,1292919073,1167919073
4920,Harsh Times,2000000,3337931,6225304,9563235,7563235
2361,Hauru no ugoku shiro,24000000,4710455,237814327,242524782,218524782
5398,Hav Plenty,650000,2301777,2301777,4603554,3953554
3037,Hawaii,15000000,34562222,34562222,69124444,54124444
2382,Haywire,23000000,18942396,36374700,55317096,32317096
2248,He Got Game,25000000,21567853,22411948,43979801,18979801
1392,He's Just Not That Into You,40000000,93953653,181053657,275007310,235007310
3208,Head Over Heels,14000000,10397365,10397365,20794730,6794730
1622,Head of State,35200000,37788228,38283765,76071993,40871993
3657,Heartbeeps,10000000,6000000,6000000,12000000,2000000
1566,Heartbreakers,38000000,40334024,57753825,98087849,60087849
4924,Hearts Beat Loud,2000000,2386254,2420962,4807216,2807216
1831,Hearts in Atlantis,31000000,24185781,30885781,55071562,24071562
3003,Heaven Can Wait,15000000,98800000,98800000,197600000,182600000
3345,Heaven is for Real,12000000,91386097,100916299,192302396,180302396
4347,Heavenly Creatures,5000000,3046086,5438120,8484206,3484206
3762,Heavy Metal,9300000,19571091,19571091,39142182,29842182
4164,Hedwig and the Angry Inch,6000000,3067312,3740030,6807342,807342
3903,Held Up,8000000,4714090,4714090,9428180,1428180
4219,Hell Fest,5500000,11107431,18119231,29226662,23726662
3376,Hell or High Water,12000000,27007844,37584304,64592148,52592148
883,Hellboy,60000000,59623958,99823958,159447916,99447916
531,Hellboy II: The Golden Army,82500000,75986503,160388063,236374566,153874566
2344,"Hello, Dolly",24000000,33208099,33208099,66416198,42416198
5221,"Hello, My Name is Doris",1000000,14444999,14662703,29107702,28107702
5220,Hellraiser,1000000,14564000,14575148,29139148,28139148
3790,Henry V,9000000,10161099,10176701,20337800,11337800
2379,Her,23000000,25568251,48163815,73732066,50732066
1121,Herbie: Fully Loaded,50000000,66010682,144110682,210121364,160121364
383,Hercules,100000000,72688614,243388614,316077228,216077228
1351,Here Comes the Boom,42000000,45290318,73239258,118529576,76529576
3097,Here on Earth,15000000,10494147,10845127,21339274,6339274
1160,Hereafter,50000000,32746941,108660270,141407211,91407211
3555,Hereditary,10000000,44069456,70133905,114203361,104203361
1362,Hero,42000000,19487173,66787173,86274346,44274346
5511,Heroes,400000,655538,655538,1311076,911076
3624,Hey Arnold! The Movie,10000000,13684949,13684949,27369898,17369898
614,Hidalgo,78000000,67286731,108086731,175373462,97373462
2163,Hidden Figures,25000000,169607287,231771716,401379003,376379003
2195,Hide and Seek,25000000,51100486,123696741,174797227,149797227
4635,High Anxiety,3400000,31063038,31063038,62126076,58726076
1352,High Crimes,42000000,41543207,63781100,105324307,63324307
2570,High Fidelity,20000000,27277055,47881663,75158718,55158718
5387,High Noon,730000,8000000,8000000,16000000,15270000
4218,High Plains Drifter,5500000,15700000,15700000,31400000,25900000
3468,High School Musical 3: Senior Year,11000000,90559416,274392880,364952296,353952296
4782,High Tension,2850000,3681066,6435262,10116328,7266328
2963,Highlander,16000000,5900000,12900000,18800000,2800000
3088,Highlander: Endgame,15000000,12801190,12801190,25602380,10602380
2146,Highlander: The Final Dimension,26000000,13738574,13738574,27477148,1477148
4307,Hillaryâs America: The Secret History of the Democratic Party,5000000,13099931,13099931,26199862,21199862
3481,History of the World: Part I,11000000,31672000,31672000,63344000,52344000
2436,Hit & Run,22000000,13749300,17216955,30966255,8966255
984,Hitch,55000000,177784257,366784257,544568514,489568514
2343,Hitman,24000000,39687694,99135571,138823265,114823265
1707,Hitman: Agent 47,35000000,22467450,82182803,104650253,69650253
2057,Hocus Pocus,28000000,39360491,39360491,78720982,50720982
